# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,2016,"$1,065.81",17,19,$56.10,1.12,$0.00,26.14%,11.11%
Google Laptop Tech Backpack,2017,"$1,065.34",19,26,$40.97,1.37,$0.00,11.54%,1.94%
7&quot; Dog Frisbee,2017,"$1,063.20",144,767,$1.39,5.33,$0.00,0.00%,0.00%
14 oz. Ceramic Google Mug,2015,"$1,059.30",35,164,$6.46,4.69,$0.00,19.20%,2.79%
Google Polished Keyring,2016,"$1,057.10",50,172,$6.15,3.44,$0.00,33.21%,9.38%
YouTube Men's Long Sleeve Pullover Badge Tee Heather,2016,"$1,053.07",29,33,$31.91,1.14,$0.00,19.10%,2.98%
Google Men's Long Sleeve Pullover Badge Tee Heather,2017,"$1,052.37",31,33,$31.89,1.06,$0.00,840.00%,310.00%
Google Women's Vintage T-Shirt Black,2016,"$1,049.86",42,74,$14.19,1.76,$0.00,55.47%,15.33%
Transit Messenger,2015,"$1,044.40",12,28,$37.30,2.33,$0.00,6.56%,1.04%
Google Bongo Cupholder Bluetooth Speaker,2016,"$1,043.82",11,18,$57.99,1.64,$0.00,6.92%,3.17%
Waterpoof Gear Bag,2016,"$1,039.85",10,15,$69.32,1.50,$0.00,9.24%,3.18%
NY City Lights T-Shirt,2016,"$1,038.60",46,56,$18.55,1.22,$0.00,11.24%,3.43%
Womens Android Heart T-Shirt,2015,"$1,037.95",53,96,$10.81,1.81,$0.00,21.08%,3.04%
Google Device Holder Sticky Pad,2017,"$1,035.71",16,289,$3.58,18.06,$0.00,16.36%,3.27%
Android Ringspun T-Shirt,2015,"$1,030.05",73,99,$10.40,1.36,$0.00,21.67%,3.21%
Android Toddler Short Sleeve T-shirt Aqua,2017,"$1,024.28",29,82,$12.49,2.83,$0.00,54.78%,25.22%
Google Men's Airflow 1/4 Zip Pullover Lapis,2016,"$1,021.84",14,16,$63.86,1.14,$0.00,14.29%,8.00%
YouTube Youth Short Sleeve Tee Red,2016,"$1,021.61",58,59,$17.32,1.02,$0.00,34.90%,6.82%
Google Toddler Hoodie Royal Blue,2017,"$1,019.67",33,33,$30.90,1.00,$0.00,33.13%,9.94%
Android Bot Socks,2016,"$1,016.00",46,127,$8.00,2.76,$0.00,20.51%,6.17%
Google Women's Shell Jacket Blue/Black,2017,"$1,015.53",39,42,$24.18,1.08,$0.00,26.10%,9.01%
Baby Trumpette Socks,2016,"$1,015.30",103,143,$7.10,1.39,$0.00,34.34%,17.34%
YouTube Tee Black,2019,"$1,011.72",68,87,$11.63,1.28,$0.00,18.72%,1.70%
Sports Water Bottle,2015,"$1,007.25",61,630,$1.60,10.33,$0.00,23.11%,5.83%
Google 3/4 Sleeve Raglan Badge Henley Black,2016,"$1,007.19",36,41,$24.57,1.14,$0.00,36.18%,12.29%
Google Flyers,2015,"$1,005.80",121,561,$1.79,4.64,$0.00,28.36%,6.56%
YouTube Women's Short Sleeve Hero Tee Charcoal,2017,"$1,003.55",53,68,$14.76,1.28,$0.00,78.72%,9.40%
Google Onesie Green,2016,"$1,002.69",43,51,$19.66,1.19,$0.00,44.00%,15.64%
Emoji Sticker Sheet,2017,"$1,002.53",40,247,$4.06,6.18,$0.00,45.66%,15.09%
Allie Tote,2015,"$1,001.25",24,45,$22.25,1.88,$0.00,12.55%,4.94%
Google Men's Heavyweight Long Sleeve Hero Tee Navy,2016,$999.70,27,30,$33.32,1.11,$0.00,37.08%,7.58%
YouTube Unstructured Cap - Charcoal,2016,$999.60,25,68,$14.70,2.72,$0.00,12.03%,1.42%
Android 25 oz Gear Cap Bottle White,2018,$993.17,35,43,$23.10,1.23,$0.00,16.84%,3.02%
YouTube Onesie Heather,2017,$991.19,39,49,$20.23,1.26,$0.00,58.26%,17.89%
Google Unisex Eco Tee Black,2019,$989.76,42,45,$21.99,1.07,$0.00,0.00%,"4,200.00%"
4-in-1 Carabiner Charger,2016,$989.59,19,41,$24.14,2.16,$0.00,9.31%,1.92%
Go Gopher Pink Squishable,2016,$989.50,41,55,$17.99,1.34,$0.00,6.47%,1.33%
Supreme Treat Box,2015,$988.90,7,22,$44.95,3.14,$0.00,3.41%,1.33%
Google Women's Yoga Pants,2017,$987.87,15,15,$65.86,1.00,$0.00,19.57%,5.34%
Android Women's Peace Tee Black,2018,$987.69,55,56,$17.64,1.02,$0.00,68.32%,27.23%
22 oz. Android Mini Mountain Bottle,2015,$985.80,48,372,$2.65,7.75,$0.00,22.66%,3.63%
Google Clip-On Flashlight Lantern Blue,2018,$980.94,40,146,$6.72,3.65,$0.00,24.93%,11.08%
Google Women's Hero V-Neck Tee White,2016,$978.51,49,69,$14.18,1.41,$0.00,100.43%,10.54%
YouTube Men's Long & Lean Tee Charcoal,2017,$975.54,77,118,$8.27,1.53,$0.00,33.64%,7.10%
Aluminum Handy Emergency Flashlight,2016,$975.12,23,68,$14.34,2.96,$0.00,17.28%,6.02%
Compact Eco Journal,2016,$974.00,33,581,$1.68,17.61,$0.00,24.14%,8.75%
Headphone Hugger,2015,$969.95,74,434,$2.23,5.86,$0.00,16.79%,3.25%
Google Leather Journal-Brown,2016,$969.85,8,35,$27.71,4.38,$0.00,0.00%,0.00%
25oz Recycled Infuser Bottle,2015,$967.20,38,156,$6.20,4.11,$0.00,15.09%,5.36%
Google Men's 3/4 Sleeve Raglan Henley Grey,2017,$966.09,25,41,$23.56,1.64,$0.00,"6,366.67%",833.33%
Google Women's 1/4 Zip Performance Pullover Black,2016,$961.83,12,17,$56.58,1.42,$0.00,17.39%,5.22%
Inbox - Subtle Actions T-Shirt,2016,$960.90,51,53,$18.13,1.04,$0.00,11.67%,3.40%
Google Leather Journal-Black,2016,$956.64,9,36,$26.57,4.00,$0.00,0.00%,0.00%
YouTube Women's Favorite Tee White,2018,$954.27,39,53,$18.01,1.36,$0.00,11.63%,1.63%
Google+ Structured Fitted Hat,2015,$954.00,19,70,$13.63,3.68,$0.00,10.22%,1.16%
Android Notebook Set Black,2018,$952.84,32,216,$4.41,6.75,$0.00,33.33%,6.10%
Aluminum Handy Emergency Flashlight,2017,$951.36,18,64,$14.86,3.56,$0.00,17.51%,3.39%
Android Sticker Sheet,2016,$950.40,84,432,$2.20,5.14,$0.00,21.39%,4.94%
YouTube Reflective Cap,2015,$950.40,40,96,$9.90,2.40,$0.00,17.68%,2.30%
Executive Twist Ballpoint Pen,2016,$946.89,31,111,$8.53,3.58,$0.00,44.44%,28.70%
Sili Square Ceramic Tumbler,2016,$942.75,44,73,$12.91,1.66,$0.00,16.57%,5.36%
Building Block 8GB USB,2016,$942.50,23,65,$14.50,2.83,$0.00,8.04%,1.65%
G Logo Mens Polo,2015,$941.00,30,32,$29.41,1.07,$0.00,9.00%,2.67%
Plastic Bottle Pen 5-Pack,2016,$940.80,54,168,$5.60,3.11,$0.00,20.14%,6.40%
12oz Hobnail Ceramic Mug,2016,$939.80,38,127,$7.40,3.34,$0.00,16.30%,5.63%
YouTube Transmission Journal Black,2017,$936.67,7,53,$17.67,7.57,$0.00,7.64%,0.62%
Android Porcelain Mug,2015,$935.55,64,81,$11.55,1.27,$0.00,19.37%,3.47%
Mens Puffer Jacket,2015,$935.30,12,13,$71.95,1.08,$0.00,8.36%,2.14%
Google Infant Short Sleeve Tee Red,2017,$935.02,57,71,$13.17,1.25,$0.00,34.82%,11.54%
Baby Knit Beanie,2015,$931.05,77,122,$7.63,1.58,$0.00,31.36%,9.11%
Google Vintage Henley Grey/Black,2016,$929.65,33,35,$26.56,1.06,$0.00,49.56%,29.20%
16oz Color Step Ceramic Mug - Red,2016,$928.80,35,72,$12.90,2.06,$0.00,16.67%,4.86%
Waze Men's Short Sleeve Tee,2017,$926.67,45,53,$17.48,1.18,$0.00,13.13%,9.09%
Android Napa Perfect Bound Journal,2015,$925.90,15,94,$9.85,6.27,$0.00,16.40%,2.39%
YouTube Men's Short Sleeve Hero Tee White,2017,$918.06,51,62,$14.81,1.22,$0.00,22.07%,1.78%
Green Flex Fleece Zip Hoodie,2015,$917.40,20,20,$45.87,1.00,$0.00,8.98%,2.99%
Bella Scoop Neck Ladies T-Shirt,2015,$913.55,57,68,$13.43,1.19,$0.00,23.14%,3.62%
Rowan Pullover Hood,2015,$912.75,15,15,$60.85,1.00,$0.00,3.61%,0.64%
YouTube Reflective Cap,2016,$910.80,35,92,$9.90,2.63,$0.00,14.69%,2.30%
Chrome Silicone Grip Glass Bottle,2016,$909.10,45,71,$12.80,1.58,$0.00,9.26%,2.57%
Napa Perfect Bound Journal,2015,$908.60,14,77,$11.80,5.50,$0.00,12.39%,3.04%
Android Colorblock Hooded Pullover,2016,$907.90,18,18,$50.44,1.00,$0.00,6.43%,0.85%
Google Women's Short Sleeve Shirt Blue,2016,$907.66,43,54,$16.81,1.26,$0.00,49.63%,16.04%
Google Youth Baseball Raglan Heather/Black,2016,$904.57,43,43,$21.04,1.00,$0.00,34.19%,13.87%
Go Gopher Pink Squishable,2015,$902.70,36,51,$17.70,1.42,$0.00,6.46%,0.97%
Google Women's White Tee,2018,$901.52,39,48,$18.78,1.23,$0.00,88.25%,5.59%
Android Small Tote Canvas,2018,$898.91,34,109,$8.25,3.21,$0.00,24.79%,3.10%
Headphone Hugger,2016,$897.00,91,390,$2.30,4.29,$0.00,18.90%,5.69%
Google Recycled G Handle Tote Bag,2015,$896.00,20,56,$16.00,2.80,$0.00,21.43%,7.52%
Wise Android T-Shirt,2016,$891.60,55,58,$15.37,1.05,$0.00,20.02%,5.42%
Google Snapback Navy Cap,2017,$891.47,31,53,$16.82,1.71,$0.00,14.21%,4.12%
Map Pin Sticker Sheet,2016,$891.10,66,277,$3.22,4.20,$0.00,17.82%,3.76%
Google PowerKit,2016,$887.87,7,13,$68.30,1.86,$0.00,5.41%,1.58%
Gel Roller Pen,2016,$882.00,42,284,$3.11,6.76,$0.00,53.77%,39.62%
Google Phone Sanitizer,2016,$881.90,7,10,$88.19,1.43,$0.00,2.45%,0.44%
Android Infant Short Sleeve Tee Pewter,2017,$875.90,56,62,$14.13,1.11,$0.00,27.60%,10.04%
Google Women's Vintage Hero Tee Platinum,2017,$875.31,106,147,$5.95,1.39,$0.00,37.79%,17.73%
Google Tee Yellow,2017,$875.14,37,46,$19.02,1.24,$0.00,29.90%,11.90%
Mens Bamboo T-Shirt,2015,$871.20,42,44,$19.80,1.05,$0.00,16.17%,4.78%
Google Relaxed Fit Hat Navy,2019,$870.96,8,67,$13.00,8.38,$0.00,28.92%,0.84%
Nest® Protect Smoke + CO Black Wired Alarm-USA,2016,$869.00,8,11,$79.00,1.38,$0.00,20.10%,4.02%
Organic Cotton Android walking with dog T-shirt,2015,$867.45,47,50,$17.35,1.06,$0.00,14.88%,2.41%
NEW Compact Eco Journal - Blue,2016,$866.70,12,321,$2.70,26.75,$0.00,32.18%,13.79%
Infant Android Superhero Bodysuit,2016,$866.25,55,63,$13.75,1.15,$0.00,21.92%,7.98%
Google Toddler Raglan Shirt Blue Heather/Navy,2016,$863.58,41,42,$20.56,1.02,$0.00,40.64%,11.99%
Android Umbrella,2016,$861.90,22,42,$20.52,1.91,$0.00,9.66%,2.39%
Android Onesie Baby Blue,2017,$861.11,13,49,$17.57,3.77,$0.00,66.10%,22.03%
Micro Cubebot,2016,$861.10,23,79,$10.90,3.43,$0.00,15.92%,4.88%
Digital Lightshow Smart Speaker and Notification Center,2016,$860.91,9,9,$95.66,1.00,$0.00,5.35%,1.02%
Toddler Android Superhero T-Shirt,2016,$856.80,64,72,$11.90,1.12,$0.00,22.94%,6.50%
Google Men's Long Sleeve Pullover Badge Tee Heather,2016,$855.32,28,28,$30.55,1.00,$0.00,35.26%,16.18%
Ladies Google New York T-Shirt,2016,$855.10,38,46,$18.59,1.21,$0.00,10.13%,4.53%
Google Snapback Hat Black,2016,$855.01,22,39,$21.92,1.77,$0.00,23.57%,5.24%
Sportiqe Blanket,2015,$854.00,7,14,$61.00,2.00,$0.00,4.78%,2.79%
Plastic Sliding Flashlight,2017,$851.77,34,171,$4.98,5.03,$0.00,22.66%,6.64%
Google Infant Short Sleeve Tee Royal Blue,2017,$849.47,19,53,$16.03,2.79,$0.00,74.07%,17.59%
Google Women's V-Neck Tee Charcoal,2016,$846.89,49,51,$16.61,1.04,$0.00,73.49%,22.79%
Ladies Sonoma Hybrid Knit Jacket,2016,$842.20,10,10,$84.22,1.00,$0.00,6.19%,1.19%
Organic Cotton Infant Bodysuit,2015,$841.80,28,46,$18.30,1.64,$0.00,24.06%,10.53%
Google Men's Convertible Vest-Jacket Pewter,2017,$841.36,14,14,$60.10,1.00,$0.00,12.59%,3.26%
Google Flat Front Bag Grey,2019,$839.76,28,28,$29.99,1.00,$0.00,9.70%,0.24%
Infant Shoulder Bodysuit,2015,$833.90,32,62,$13.45,1.94,$0.00,13.19%,2.38%
Large Zipper Top Tote Bag,2016,$832.72,22,28,$29.74,1.27,$0.00,15.19%,4.07%
Android Clip Mini,2016,$832.05,19,129,$6.45,6.79,$0.00,20.44%,5.97%
Mini Android Collectible Figure - Series 7,2018,$831.94,5,6,$138.66,1.20,$0.00,8.58%,1.16%
Womens Soho Technical Jacket,2015,$830.70,11,11,$75.52,1.00,$0.00,4.78%,0.50%
Ladies Bamboo T-Shirt,2016,$826.00,31,40,$20.65,1.29,$0.00,15.88%,6.65%
Google Men's Skater Tee Grey,2016,$823.55,28,45,$18.30,1.61,$0.00,40.82%,14.29%
Google Snapback Black Cap,2017,$823.53,39,47,$17.52,1.21,$0.00,10.99%,2.91%
Android Matrix Tee White,2017,$822.38,35,42,$19.58,1.20,$0.00,17.58%,3.16%
YouTube Crew Socks Summer 18,2018,$821.83,27,57,$14.42,2.11,$0.00,25.90%,2.42%
Striped Journal 7 x 10,2015,$821.25,15,73,$11.25,4.87,$0.00,16.01%,4.90%
Oasis Backpack,2016,$819.91,9,9,$91.10,1.00,$0.00,13.78%,1.33%
Google Men's Skater Tee Charcoal,2016,$819.53,34,47,$17.44,1.38,$0.00,33.98%,7.31%
Google Crewneck Sweatshirt Grey,2019,$817.32,17,17,$48.08,1.00,$0.00,16.70%,0.30%
Android Ireland Adult T-Shirt,2016,$816.80,48,49,$16.67,1.02,$0.00,23.75%,6.87%
Google Bluetooth Speaker-Power Bank,2017,$816.08,11,12,$68.01,1.09,$0.00,8.66%,1.32%
YouTube Play Black Force Bottle,2018,$815.60,2,40,$20.39,20.00,$0.00,19.30%,1.75%
Google Onesie Royal Blue,2016,$815.59,37,41,$19.89,1.11,$0.00,57.95%,18.97%
Koozie Can Kooler,2016,$815.34,24,506,$1.61,21.08,$0.00,36.84%,8.42%
Google Men's Bayside Graphic Tee,2016,$814.74,44,46,$17.71,1.05,$0.00,25.50%,9.84%
Cross Calais Pen,2016,$813.60,16,20,$40.68,1.25,$0.00,3.72%,0.82%
Google Men's Performance Badge Tee Black,2016,$813.54,8,46,$17.69,5.75,$0.00,53.33%,26.67%
Switch Tone Color Crayon Pen,2016,$813.24,37,436,$1.87,11.78,$0.00,41.86%,14.34%
Android Small Trace Journal Black,2018,$813.03,19,77,$10.56,4.05,$0.00,16.58%,1.93%
Mens Athletic Shorts,2015,$812.30,37,39,$20.83,1.05,$0.00,12.55%,3.18%
Android Small Removable Sticker Sheet,2017,$811.50,67,330,$2.46,4.93,$0.00,51.96%,13.81%
Nailhead Messenger,2015,$810.60,14,28,$28.95,2.00,$0.00,6.27%,1.20%
YouTube Hard Cover Journal,2016,$806.35,6,65,$12.41,10.83,$0.00,27.59%,10.34%
Gift Card - $25.00,2018,$800.00,25,32,$25.00,1.28,$0.00,64.81%,15.43%
YouTube Wool Heather Cap Heather/Black,2017,$799.63,15,37,$21.61,2.47,$0.00,20.15%,1.39%
Google Trike Tee Black,2017,$799.51,40,49,$16.32,1.22,$0.00,39.24%,8.97%
Google Women's Quilted Insulated Vest White,2016,$794.87,13,13,$61.14,1.00,$0.00,15.00%,7.22%
YouTube Twill Sandwich Cap Black,2019,$792.65,56,61,$12.99,1.09,$0.00,21.13%,1.13%
Google Women's Vintage Hero Tee White,2016,$786.33,40,47,$16.73,1.18,$0.00,55.10%,20.41%
Google Women's Zip Hoodie Grey,2016,$783.93,7,7,$111.99,1.00,$0.00,10.73%,3.95%
Recycled Pocket Bound Journalbook,2015,$781.20,7,124,$6.30,17.71,$0.00,11.92%,3.63%
Clip-on Compact Charger,2016,$779.86,9,14,$55.70,1.56,$0.00,7.08%,1.68%
Google Zip Hoodie Black,2019,$779.85,17,17,$45.87,1.00,$0.00,9.90%,0.12%
YouTube Unstructured Cap - Charcoal,2015,$779.10,36,53,$14.70,1.47,$0.00,16.79%,2.24%
Yoga Mat Purple,2017,$778.77,11,36,$21.63,3.27,$0.00,0.00%,0.00%
Slim Twist Pens - Pack of 4,2016,$778.20,36,126,$6.18,3.50,$0.00,19.44%,7.14%
Chrome Full Zip Hoodie,2015,$777.00,19,19,$40.89,1.00,$0.00,6.16%,0.75%
Colored Rubber Glass Bottle - Purple,2015,$772.50,45,62,$12.46,1.38,$0.00,14.16%,3.66%
Triblend YouTube Youth T-Shirt,2015,$767.00,58,59,$13.00,1.02,$0.00,26.43%,6.49%
YouTube Men's Vintage Tee,2016,$765.31,35,49,$15.62,1.40,$0.00,36.25%,5.38%
Google F/C Longsleeve Ash,2019,$764.83,26,26,$29.42,1.00,$0.00,8.24%,7.65%
Organic Cotton Android walking with dog T-shirt,2016,$763.95,40,44,$17.36,1.10,$0.00,17.97%,5.06%
Google Toddler Short Sleeve T-shirt Grey,2017,$763.23,68,75,$10.18,1.10,$0.00,39.91%,31.92%
Ladies Cotton Poly w/ Thermal Tee,2015,$758.35,39,50,$15.17,1.28,$0.00,18.28%,5.32%
Rabbit Skins Infant Creeper,2015,$757.35,28,51,$14.85,1.82,$0.00,14.26%,2.56%
Android Stretch Fit Hat S/M,2017,$755.85,12,68,$11.12,5.67,$0.00,0.00%,0.00%
Organic Cotton Infant Bodysuit - White,2015,$753.50,35,43,$17.52,1.23,$0.00,27.26%,4.79%
MTV Unisex Blue T-Shirt,2016,$751.25,42,47,$15.98,1.12,$0.00,11.51%,3.63%
Google Women's Softshell Jacket Black/Grey,2017,$750.57,23,24,$31.27,1.04,$0.00,26.84%,7.35%
Gift Card - $50.00,2018,$750.00,14,15,$50.00,1.07,$0.00,61.48%,10.37%
Google Mens Microfleece Jacket Black,2019,$749.98,10,10,$75.00,1.00,$0.00,11.21%,0.18%
YouTube Organic Cotton T-Shirt - Black,2015,$747.85,39,50,$14.96,1.28,$0.00,19.97%,1.64%
Eco-Aware Recycled Journal Combo,2016,$746.73,15,207,$3.61,13.80,$0.00,0.00%,0.00%
Google Toddler Raglan Shirt Blue Heather/Navy,2017,$746.65,37,39,$19.14,1.05,$0.00,37.70%,14.68%
Google 3/4 Sleeve Raglan Badge Henley Black,2017,$745.05,21,33,$22.58,1.57,$0.00,28.07%,9.21%
Google Men's Colorblock Tee White/Heather,2017,$741.30,22,22,$33.70,1.00,$0.00,257.14%,104.76%
Android Baby Esssentials Set,2016,$740.95,19,25,$29.64,1.32,$0.00,0.00%,0.00%
Google Pullover Hoodie Grey,2019,$737.86,15,17,$43.40,1.13,$0.00,20.65%,0.14%
Google Glass Bottle,2019,$735.71,6,32,$22.99,5.33,$0.00,16.20%,0.23%
Ladies Bamboo T-Shirt - Pink,2015,$735.60,30,36,$20.43,1.20,$0.00,18.25%,3.70%
Android Piggyback Power Pack,2016,$735.15,15,29,$25.35,1.93,$0.00,3.86%,1.01%
Android Men's Long Sleeve Badge Crew Tee Heather,2017,$734.78,43,52,$14.13,1.21,$0.00,84.81%,27.22%
Google Thermal Bottle Yellow,2017,$734.04,16,36,$20.39,2.25,$0.00,38.94%,14.16%
Crunch Noise Dog Toy,2017,$732.06,126,204,$3.59,1.62,$0.00,57.45%,24.37%
Google Women's Short Sleeve V-Neck Tee Lavender,2016,$730.49,43,51,$14.32,1.19,$0.00,65.11%,15.47%
Google Men's Short Sleeve Performance Badge Tee Navy,2016,$730.02,37,38,$19.21,1.03,$0.00,32.69%,11.97%
Google Women's Tee F/C Black,2019,$725.77,31,33,$21.99,1.06,$0.00,32.21%,8.05%
Android Men's Short Sleeve Tri-blend Hero Tee Grey,2016,$724.59,33,41,$17.67,1.24,$0.00,33.33%,12.50%
YouTube Standards Zip Hoodie Black,2019,$719.99,12,12,$60.00,1.00,$0.00,3.52%,1.46%
Flow 25L Dry Bag,2015,$719.95,15,17,$42.35,1.13,$0.00,4.56%,0.57%
Google Campus Bike,2019,$719.89,17,18,$39.99,1.06,$0.00,5.59%,0.26%
Google Collapsible Pet Bowl,2016,$719.38,87,162,$4.44,1.86,$0.00,47.06%,16.51%
Android SM S/F18 Sticker Sheet,2018,$717.97,40,263,$2.73,6.58,$0.00,39.35%,5.87%
Wireless Mouse,2015,$717.65,27,42,$17.09,1.56,$0.00,8.86%,1.21%
Android Bear Infant Onesie,2015,$717.60,28,69,$10.40,2.46,$0.00,17.23%,3.13%
Android Men's Paradise Short Sleeve Tee Olive,2017,$708.75,43,45,$15.75,1.05,$0.00,211.11%,159.26%
YouTube Men's Short Sleeve Hero Tee White,2016,$706.76,41,44,$16.06,1.07,$0.00,29.33%,3.90%
Youth Android Superhero T-Shirt,2016,$704.00,54,64,$11.00,1.19,$0.00,29.30%,10.55%
Infant Bodysuit,2015,$703.95,50,57,$12.35,1.14,$0.00,26.21%,9.29%
Tech Trapper,2015,$702.50,13,26,$27.02,2.00,$0.00,4.64%,0.48%
YouTube Kids Tee White,2018,$701.12,44,48,$14.61,1.09,$0.00,12.25%,1.29%
Gift Card - $50.00,2017,$700.00,14,14,$50.00,1.00,$0.00,36.73%,4.76%
Gift Card- $100.00,2018,$700.00,7,7,$100.00,1.00,$0.00,35.37%,2.85%
Nest Tag - USA,2017,$700.00,21,35,$20.00,1.67,$0.00,7.45%,3.48%
Leather and Metal Ballpoint Pen,2016,$698.00,18,40,$17.45,2.22,$0.00,18.35%,5.50%
Android Aviator Fleece Beanie,2015,$697.45,26,29,$24.05,1.12,$0.00,11.30%,3.42%
Galaxy Screen Cleaning Cloth,2015,$696.20,37,388,$1.79,10.49,$0.00,28.86%,6.80%
Pen Pencil + Highlighter Set,2015,$693.75,57,183,$3.79,3.21,$0.00,25.36%,8.12%
Wise Android T-Shirt,2015,$693.75,44,45,$15.42,1.02,$0.00,14.31%,3.03%
Google Men's Convertible Vest-Jacket Pewter,2016,$692.92,8,8,$86.62,1.00,$0.00,6.01%,1.92%
Waze Men's Short Sleeve Tee,2018,$690.03,43,44,$15.68,1.02,$0.00,10.13%,2.52%
Seat Pack Organizer,2017,$687.84,26,72,$9.55,2.77,$0.00,12.89%,3.64%
Fleece Full-Zip Hoodie,2015,$684.75,15,15,$45.65,1.00,$0.00,3.34%,0.73%
Go Gopher T-Shirt in Teal,2015,$682.95,54,61,$11.20,1.13,$0.00,11.34%,1.25%
Android Shaker Bottle,2016,$681.20,51,137,$4.97,2.69,$0.00,15.80%,6.01%
Google Men's Vintage Badge Tee White,2016,$680.76,38,44,$15.47,1.16,$0.00,44.55%,9.00%
Android Soccer Ball,2015,$680.00,9,16,$42.50,1.78,$0.00,12.80%,2.13%
Deluge Waterproof Backpack,2016,$679.93,7,7,$97.13,1.00,$0.00,14.53%,0.99%
Solo Pro Backpack,2016,$679.93,6,7,$97.13,1.17,$0.00,16.58%,1.51%
Adult L/S Crew Neck,2015,$678.40,28,32,$21.20,1.14,$0.00,14.73%,1.04%
Android Umbrella,2015,$673.50,18,30,$22.45,1.67,$0.00,7.24%,1.33%
Android Lunch Kit,2017,$672.86,44,72,$9.35,1.64,$0.00,18.50%,4.79%
16 oz. Hot and Cold Tumbler,2016,$672.46,23,74,$9.09,3.22,$0.00,25.99%,12.99%
Sportiqe Blanket,2016,$671.00,5,11,$61.00,2.20,$0.00,4.45%,1.17%
Rabbit Skins Infant Bodysuit,2016,$669.60,49,54,$12.40,1.10,$0.00,27.73%,10.70%
YouTube Men's Skater Tee Charcoal,2017,$669.11,26,49,$13.66,1.88,$0.00,150.00%,118.18%
Youth T-Shirt - Red,2016,$667.80,55,63,$10.60,1.15,$0.00,23.28%,11.43%
Google Collapsible Duffel Black,2016,$664.04,25,36,$18.45,1.44,$0.00,0.00%,0.00%
YouTube Mouse Pad,2015,$661.20,38,116,$5.70,3.05,$0.00,21.42%,1.42%
Google Zip Hoodie F/C,2020,$660.00,9,11,$60.00,1.22,$0.00,17.49%,0.39%
Toddler Full Zip Hoodie,2016,$658.80,22,27,$24.40,1.23,$0.00,11.11%,3.22%
Android Women's Pride Tee,2018,$657.27,31,33,$19.92,1.06,$0.00,55.81%,18.02%
Android Surfboard Sunset Beach Towel,2016,$656.00,13,20,$32.80,1.54,$0.00,7.31%,2.57%
Nantucket Stripe Tote,2015,$651.80,16,52,$12.53,3.25,$0.00,16.09%,1.31%
Google Luggage Tag,2016,$651.53,28,67,$9.72,2.39,$0.00,36.11%,19.44%
Android Soccer Youth T-Shirt,2016,$650.00,41,52,$12.50,1.27,$0.00,19.77%,6.75%
Temperature Sensor 3 Pack -US,2018,$650.00,10,10,$65.00,1.00,$0.00,61.54%,25.64%
YouTube Kids Onesie White,2017,$649.73,8,27,$24.06,3.38,$0.00,16.01%,1.97%
PowerClip Lightning Charger,2016,$647.88,3,12,$53.99,4.00,$0.00,13.11%,1.64%
Mens Puffer Jacket,2016,$645.30,6,9,$71.70,1.50,$0.00,7.26%,0.60%
Google Youth Short Sleeve T-shirt Royal Blue,2016,$641.79,38,41,$15.65,1.08,$0.00,37.50%,12.84%
Google Tee Blue,2019,$639.90,36,37,$17.29,1.03,$0.00,20.22%,0.88%
White Youth T-Shirt,2015,$639.10,45,77,$8.30,1.71,$0.00,26.99%,7.45%
Go Gopher Purple Squishable,2016,$637.95,55,64,$9.97,1.16,$0.00,14.29%,2.65%
Seat Pack Organizer,2016,$637.80,39,60,$10.63,1.54,$0.00,10.58%,3.35%
Cross Calais Pen,2015,$637.55,15,17,$37.50,1.13,$0.00,6.74%,1.69%
Google Camp Mug Ivory,2019,$636.68,34,49,$12.99,1.44,$0.00,25.02%,0.77%
Big Bear Eco Beanie,2016,$636.50,27,67,$9.50,2.48,$0.00,14.84%,5.49%
YouTube Kids Tee Black,2018,$635.62,34,38,$16.73,1.12,$0.00,11.18%,1.21%
Sili Square Ceramic Tumbler,2015,$630.00,28,50,$12.60,1.79,$0.00,15.32%,4.82%
Android 3D Hoodie,2015,$626.22,9,10,$62.62,1.11,$0.00,2.96%,0.30%
Google Youth Short Sleeve T-shirt Green,2017,$623.42,48,54,$11.54,1.12,$0.00,48.10%,30.38%
Ladies Cotton Poly w/ Thermal Tee,2016,$622.85,37,41,$15.19,1.11,$0.00,20.07%,6.14%
Recycled Plastic Bottle Hoodie,2015,$616.50,10,10,$61.65,1.00,$0.00,3.12%,0.48%
Google Men's Discovery Lt. Rain Shell,2019,$615.94,7,7,$87.99,1.00,$0.00,7.93%,0.19%
Universal Work Light,2016,$614.20,18,32,$19.19,1.78,$0.00,7.87%,2.15%
Google Women's Long Sleeve Tee Lavender,2016,$614.09,29,31,$19.81,1.07,$0.00,40.31%,14.80%
Organic Me-To-We Tee,2015,$613.60,25,26,$23.60,1.04,$0.00,7.21%,1.31%
Cardboard T-Shirt,2016,$613.25,36,41,$14.96,1.14,$0.00,9.59%,3.32%
Android Men's Vintage Henley,2017,$612.39,39,40,$15.31,1.03,$0.00,50.76%,14.77%
Google Flashlight,2017,$611.88,8,12,$50.99,1.50,$0.00,5.94%,0.69%
